DDP: I am worker 0 of 1. My local rank is 0
=> Dummy data is used!
start training
[METRIC] [2024-06-22T06:53:42.221145] Step 16 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:53:42.661703] Step 17 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:43.104587] Step 18 Rank 0 processed 400 samples in 0.4429 seconds
[METRIC] [2024-06-22T06:53:43.543382] Step 19 Rank 0 processed 400 samples in 0.4387 seconds
[METRIC] [2024-06-22T06:53:43.985090] Step 20 Rank 0 processed 400 samples in 0.4417 seconds
[METRIC] [2024-06-22T06:53:44.426937] Step 21 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:53:44.866020] Step 22 Rank 0 processed 400 samples in 0.4390 seconds
[METRIC] [2024-06-22T06:53:45.311428] Step 23 Rank 0 processed 400 samples in 0.4454 seconds
[METRIC] [2024-06-22T06:53:45.749254] Step 24 Rank 0 processed 400 samples in 0.4378 seconds
[METRIC] [2024-06-22T06:53:46.190089] Step 25 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:53:46.630090] Step 26 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:53:47.070784] Step 27 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:47.511094] Step 28 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:53:47.951740] Step 29 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:48.392825] Step 30 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:48.833484] Step 31 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:49.274878] Step 32 Rank 0 processed 400 samples in 0.4414 seconds
[METRIC] [2024-06-22T06:53:49.715128] Step 33 Rank 0 processed 400 samples in 0.4402 seconds
[METRIC] [2024-06-22T06:53:50.156048] Step 34 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:53:50.597672] Step 35 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:53:51.037569] Step 36 Rank 0 processed 400 samples in 0.4399 seconds
[METRIC] [2024-06-22T06:53:51.478329] Step 37 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:51.921304] Step 38 Rank 0 processed 400 samples in 0.4429 seconds
[METRIC] [2024-06-22T06:53:52.360076] Step 39 Rank 0 processed 400 samples in 0.4387 seconds
[METRIC] [2024-06-22T06:53:52.801104] Step 40 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:53.243475] Step 41 Rank 0 processed 400 samples in 0.4423 seconds
[METRIC] [2024-06-22T06:53:53.683651] Step 42 Rank 0 processed 400 samples in 0.4401 seconds
[METRIC] [2024-06-22T06:53:54.124446] Step 43 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:54.565452] Step 44 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:55.005867] Step 45 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:53:55.447084] Step 46 Rank 0 processed 400 samples in 0.4412 seconds
[METRIC] [2024-06-22T06:53:55.887813] Step 47 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:56.328698] Step 48 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:53:56.769869] Step 49 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:53:57.210435] Step 50 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:57.651068] Step 51 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:58.093598] Step 52 Rank 0 processed 400 samples in 0.4425 seconds
[METRIC] [2024-06-22T06:53:58.532599] Step 53 Rank 0 processed 400 samples in 0.4390 seconds
[METRIC] [2024-06-22T06:53:58.973453] Step 54 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:53:59.416141] Step 55 Rank 0 processed 400 samples in 0.4426 seconds
